,time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
0,0.0,5557.2001953125,6580.80712890625,9655.5263671875,2641.075927734375,27.28166961669922,2894.73486328125,-9508.244140625,7578.1796875,7290.67724609375,-9818.1005859375,-1746.7701416015625,-3917.453369140625,-1654.4970703125,2604.38671875,7501.20849609375,6246.84716796875,-5.699999809265137,-17.399999618530273,2633.298095703125,-4960.77685546875,-17.399999618530273,-8385.2255859375,6155.11328125,4527.21240234375,0.0
0,0.00341796875,2962.800048828125,3763.633544921875,-2007.5936279296875,9819.599609375,9823.5,7201.74072265625,-9808.501953125,2150.997314453125,-6701.53173828125,3426.50732421875,9814.2001953125,5684.25439453125,-6344.73779296875,-6522.21240234375,-4398.2314453125,-2333.742431640625,-5.699999809265137,-17.399999618530273,9816.2998046875,9662.779296875,-17.399999618530273,7010.603515625,-8326.7314453125,-6747.52734375,0.0
0,0.006591796875,-1215.300048828125,-1367.1754150390625,-9828.900390625,6504.24560546875,8461.2158203125,1586.5546875,-9809.400390625,-3619.5185546875,-9573.6171875,9817.7998046875,8076.416015625,6362.5234375,-305.9439697265625,-3380.1552734375,-6329.12646484375,-4592.37744140625,-5.699999809265137,-17.399999618530273,5326.51220703125,9825.2998046875,-17.100000381469727,9836.69921875,-8921.7119140625,-5712.71875,0.0
0,0.010009765625,-1202.0999755859375,-1804.99560546875,-1466.4761962890625,-3850.582763671875,-4582.12158203125,-5696.1787109375,-9599.548828125,-3051.386962890625,-957.3616943359375,5963.12939453125,137.17776489257812,2806.11279296875,8703.806640625,5672.37548828125,1455.2884521484375,-217.51153564453125,-5.699999809265137,-17.399999618530273,-8613.791015625,-2040.8031005859375,-17.100000381469727,-583.2913818359375,1772.6702880859375,2979.79345703125,0.0
0,0.013427734375,2246.699951171875,2146.189453125,9290.181640625,-8678.12109375,-9823.80078125,-5023.0400390625,-9809.400390625,3645.260986328125,10162.7626953125,-9285.3671875,-9426.62890625,-5188.45751953125,7524.72216796875,9410.27734375,9819.900390625,7300.4560546875,-6.0,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.399999618530273,-9837.0,9806.7001953125,9816.900390625,0.0
0,0.0166015625,4505.7001953125,5417.38720703125,9595.8349609375,1331.476318359375,-793.2670288085938,3004.52490234375,-9528.3017578125,6833.14306640625,6112.3857421875,-9818.1005859375,-2661.787841796875,-4222.07421875,-2828.781982421875,1414.495361328125,6454.69580078125,5518.3037109375,-5.400000095367432,-17.100000381469727,2110.2333984375,-5022.24658203125,-17.399999618530273,-8384.6259765625,5700.79736328125,3786.608642578125,0.0
0,0.02001953125,2006.4000244140625,2658.1298828125,-3109.62548828125,9819.599609375,9823.5,7239.2373046875,-9809.400390625,1437.0914306640625,-7732.53662109375,3408.230224609375,9814.2001953125,5308.5048828125,-7243.0732421875,-7407.7333984375,-5406.98388671875,-3061.384765625,-6.0,-17.399999618530273,9816.2998046875,9606.40625,-17.700000762939453,7010.904296875,-8437.4677734375,-7338.033203125,0.0
0,0.023193359375,-2335.5,-2603.81494140625,-9828.900390625,5497.322265625,8069.97802734375,1361.875244140625,-9510.9384765625,-4529.18701171875,-10457.3359375,9817.7998046875,7514.5263671875,5641.9375,-1323.0577392578125,-4488.4814453125,-7534.17431640625,-5420.66357421875,-5.400000095367432,-17.399999618530273,4782.7763671875,9825.2998046875,-17.700000762939453,9836.69921875,-9205.734375,-6493.16943359375,0.0
0,0.026611328125,-1862.4000244140625,-2569.3056640625,-2399.6337890625,-4608.7724609375,-5224.8896484375,-5787.0703125,-9809.400390625,-3624.3076171875,-1546.50732421875,5975.7138671875,-464.5473937988281,2618.23828125,8092.21826171875,4975.77294921875,706.3662719726562,-661.2470703125,-6.0,-17.100000381469727,-8872.626953125,-2192.22900390625,-17.399999618530273,-561.97705078125,1251.3143310546875,2525.0048828125,0.0
0,0.030029296875,1473.5999755859375,1248.3427734375,9061.9169921875,-9435.111328125,-9823.80078125,-5091.73388671875,-9809.400390625,3029.236328125,9279.0439453125,-9276.9775390625,-9675.525390625,-5571.40966796875,6815.65185546875,8990.7568359375,9582.2470703125,6729.03759765625,-5.699999809265137,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.399999618530273,-9837.0,9806.7001953125,9747.9921875,0.0
0,0.033203125,3665.39990234375,4400.10791015625,9032.521484375,436.93280029296875,-1589.2322998046875,2915.133056640625,-6724.205078125,6183.89306640625,5007.73779296875,-9818.1005859375,-3240.4501953125,-4572.61328125,-3773.60888671875,254.2913055419922,5345.248046875,4917.142578125,-5.400000095367432,-17.399999618530273,1352.2989501953125,-5066.9248046875,-17.399999618530273,-8380.72265625,5133.3515625,2959.720458984375,0.0
0,0.03662109375,-1858.5,-1646.2520751953125,-6739.671875,7413.77294921875,9823.5,6569.0986328125,9809.1005859375,-1859.1490478515625,-13182.134765625,3382.46240234375,7306.36328125,2999.689697265625,-9828.6005859375,-9826.2001953125,-8529.740234375,-6133.5849609375,-6.0,-17.399999618530273,9816.2998046875,9558.4296875,-17.100000381469727,7007.0009765625,-9252.4228515625,-9287.8115234375,0.0
0,0.0400390625,-5348.39990234375,-5929.02783203125,-9828.900390625,2433.69775390625,6522.41796875,870.520263671875,9052.6201171875,-7133.67236328125,-15244.1435546875,9817.7998046875,5055.2099609375,3846.025146484375,-4746.3310546875,-7350.45849609375,-9702.123046875,-7934.96533203125,-6.0,-17.700000762939453,2601.2431640625,9825.2998046875,-16.799999237060547,9836.69921875,-9609.4716796875,-8398.9072265625,0.0
0,0.043212890625,-4830.0,-5897.81982421875,-6206.65283203125,-7824.333984375,-7763.8837890625,-6378.6162109375,9809.1005859375,-6209.03662109375,-6406.958984375,5923.87841796875,-3430.342529296875,597.5369262695312,4792.52197265625,1844.8114013671875,-2833.556884765625,-3180.355224609375,-5.699999809265137,-17.700000762939453,-9725.228515625,-2818.3232421875,-17.399999618530273,-583.591552734375,-908.9312133789062,-163.58006286621094,0.0
0,0.046630859375,-693.0,-1206.63134765625,8236.1435546875,-9819.900390625,-9823.80078125,-5397.10595703125,9438.79296875,1161.706298828125,5228.66796875,-9296.1533203125,-9814.5,-6919.84423828125,4133.2431640625,6468.2353515625,7296.521484375,4834.82470703125,-6.0,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.100000381469727,-9837.0,9806.7001953125,8073.54443359375,0.0
0,0.050048828125,1965.9000244140625,2505.68798828125,8243.9423828125,-1802.5726318359375,-3145.786376953125,2610.660888671875,9809.1005859375,4606.4150390625,1620.1505126953125,-9818.1005859375,-4749.705078125,-5704.3623046875,-5725.951171875,-1504.1571044921875,3402.365966796875,3421.6005859375,-6.0,-17.700000762939453,-113.8399658203125,-5332.294921875,-17.100000381469727,-8373.5185546875,4275.0,1490.7955322265625,0.0
0,0.05322265625,-539.7000122070312,-162.94473266601562,-5900.99951171875,8961.318359375,9823.5,6550.80029296875,9676.185546875,-804.0048217773438,-11782.9130859375,3399.241455078125,8086.89892578125,3337.323486328125,-9828.6005859375,-9506.5361328125,-7749.65087890625,-5188.7314453125,-6.0,-17.399999618530273,9816.2998046875,9544.9365234375,-17.399999618530273,7023.2119140625,-9014.19140625,-8872.5703125,0.0
0,0.056640625,-4317.0,-4873.0380859375,-9828.900390625,3432.22998046875,7045.2666015625,816.5252075195312,9809.1005859375,-6281.77392578125,-14213.138671875,9817.7998046875,5650.9453125,4168.953125,-3720.818603515625,-6521.0126953125,-9392.5439453125,-7210.62744140625,-6.0,-17.100000381469727,2589.260009765625,9825.2998046875,-17.399999618530273,9836.69921875,-9554.103515625,-7891.68896484375,0.0
0,0.06005859375,-3786.0,-4617.66796875,-5025.73291015625,-6609.4326171875,-7015.287109375,-6255.3271484375,9809.1005859375,-5296.37451171875,-5155.0244140625,5896.61279296875,-2583.614501953125,1063.021484375,5842.63037109375,2947.440185546875,-1479.8629150390625,-2383.01318359375,-5.400000095367432,-17.100000381469727,-9625.46875,-2600.929443359375,-17.100000381469727,-560.4760131835938,-163.11080932617188,865.5362548828125,0.0
0,0.063232421875,103.19999694824219,-245.16732788085938,8598.4873046875,-9819.900390625,-9823.80078125,-5407.90478515625,9629.185546875,1794.4932861328125,5817.8134765625,-9313.83203125,-9814.5,-6625.7275390625,5052.57470703125,7372.3486328125,8081.40576171875,5414.05419921875,-6.0,-17.399999618530273,-9816.6005859375,-9825.6005859375,-17.700000762939453,-9837.0,9806.7001953125,8783.2900390625,0.0
0,0.066650390625,2772.60009765625,3438.343994140625,8826.7529296875,-880.1588745117188,-2562.378662109375,2711.751708984375,9809.1005859375,5243.09326171875,2503.868896484375,-9818.1005859375,-4277.3701171875,-5196.86083984375,-4867.20849609375,-578.7526245117188,4245.39013671875,4012.547119140625,-5.099999904632568,-17.700000762939453,-118.63323211669922,-5216.25146484375,-17.399999618530273,-8363.01171875,4664.66943359375,2213.423828125,0.0
0,0.070068359375,336.8999938964844,808.4219970703125,-5000.23681640625,9819.599609375,9823.5,6765.2802734375,9028.3720703125,-41.00843811035156,-10972.837890625,3400.43994140625,9003.4140625,4171.9541015625,-9178.3193359375,-8951.4736328125,-6972.857421875,-4538.90087890625,-5.699999809265137,-16.799999237060547,9816.2998046875,9578.5205078125,-17.399999618530273,7036.72119140625,-8769.6748046875,-8247.6103515625,0.0
0,0.0732421875,-3846.60009765625,-4349.39453125,-9828.900390625,3884.446533203125,7112.421875,972.2109985351562,9809.1005859375,-5939.03955078125,-13918.56640625,9817.7998046875,6003.47412109375,4722.07275390625,-2977.8544921875,-6084.099609375,-9383.25390625,-6852.21435546875,-6.300000190734863,-17.399999618530273,2501.783203125,9825.2998046875,-17.700000762939453,9836.69921875,-9649.2763671875,-7780.2392578125,0.0
0,0.07666015625,-1505.699951171875,-2205.90576171875,-2192.96533203125,-4176.03466796875,-5347.50732421875,-6053.74560546875,-2721.773193359375,-3465.36279296875,-1693.7938232421875,5927.77392578125,-463.9483947753906,2339.427734375,7889.75537109375,5286.740234375,1359.3880615234375,-611.0752563476562,-5.699999809265137,-17.399999618530273,-9541.8857421875,-2340.056884765625,-17.399999618530273,-539.1617431640625,1315.0621337890625,3051.097412109375,0.0
